airline,flight_number,departure_city,destination_city,departure_time,arrival_time,duration
EasyJet,U2 324,"London, UK","Edinburgh, UK",17:45,18:45,1h 0m
EasyJet,U2 117,"London, UK","Edinburgh, UK",10:00,11:00,1h 0m
KLM,KL 432,"London, UK","Edinburgh, UK",18:30,19:30,1h 0m
KLM,KL 982,"London, UK","Edinburgh, UK",09:45,10:45,1h 0m
EasyJet,U2 558,"London, UK","Dublin, Ireland",08:30,09:30,1h 0m
Lufthansa,LH 300,"London, UK","Dublin, Ireland",10:15,11:15,1h 0m
British Airways,BA 545,"London, UK","Dublin, Ireland",22:45,23:45,1h 0m
British Airways,BA 204,"London, UK","Dublin, Ireland",06:15,07:15,1h 0m
Ryanair,FR 929,"London, UK","Brussels, Belgium",14:15,15:15,1h 0m
British Airways,BA 153,"London, UK","Brussels, Belgium",10:15,11:15,1h 0m
EasyJet,U2 258,"London, UK","Brussels, Belgium",14:45,15:45,1h 0m
Ryanair,FR 204,"London, UK","Brussels, Belgium",13:00,14:00,1h 0m
Lufthansa,LH 130,"London, UK","Bruges, Belgium",12:30,13:30,1h 0m
Ryanair,FR 216,"London, UK","Bruges, Belgium",09:30,10:30,1h 0m
KLM,KL 776,"London, UK","Bruges, Belgium",13:30,14:30,1h 0m
EasyJet,U2 207,"London, UK","Bruges, Belgium",15:45,16:45,1h 0m
EasyJet,U2 589,"London, UK","Amsterdam, Netherlands",22:30,23:30,1h 0m
British Airways,BA 257,"London, UK","Amsterdam, Netherlands",19:00,20:00,1h 0m
Ryanair,FR 109,"London, UK","Amsterdam, Netherlands",11:15,12:15,1h 0m
Ryanair,FR 344,"London, UK","Amsterdam, Netherlands",11:45,12:45,1h 0m
Ryanair,FR 385,"London, UK","Rome, Italy",16:45,18:15,1h 30m
Lufthansa,LH 585,"London, UK","Rome, Italy",17:45,19:15,1h 30m
Ryanair,FR 994,"London, UK","Rome, Italy",13:00,14:30,1h 30m
KLM,KL 858,"London, UK","Rome, Italy",15:15,16:45,1h 30m
Lufthansa,LH 197,"London, UK","Florence, Italy",20:45,22:15,1h 30m
Lufthansa,LH 996,"London, UK","Florence, Italy",06:45,08:15,1h 30m
Ryanair,FR 429,"London, UK","Florence, Italy",15:15,16:45,1h 30m
British Airways,BA 606,"London, UK","Florence, Italy",11:15,12:45,1h 30m
British Airways,BA 975,"London, UK","Venice, Italy",08:15,09:45,1h 30m
Ryanair,FR 738,"London, UK","Venice, Italy",12:00,13:30,1h 30m
Ryanair,FR 468,"London, UK","Venice, Italy",17:45,19:15,1h 30m
Ryanair,FR 421,"London, UK","Venice, Italy",09:00,10:30,1h 30m
EasyJet,U2 227,"London, UK","Milan, Italy",14:30,16:00,1h 30m
KLM,KL 397,"London, UK","Milan, Italy",07:45,09:15,1h 30m
Ryanair,FR 490,"London, UK","Milan, Italy",09:15,10:45,1h 30m
KLM,KL 320,"London, UK","Milan, Italy",09:15,10:45,1h 30m
