iter	RMSE
0	3.285621536
1	3.264445255
2	3.246490801
3	3.226276721
4	3.205485427
5	3.186384038
6	3.169571723
7	3.152325421
8	3.13579339
9	3.119484454
10	3.102359023
11	3.086462535
12	3.071333874
13	3.056658504
14	3.042227464
15	3.027887237
16	3.013244178
17	2.999423309
18	2.985034518
19	2.971388848
20	2.957854996
21	2.945805221
22	2.932266404
23	2.920145626
24	2.908067987
25	2.8966696
26	2.886171955
27	2.873569434
28	2.862432905
29	2.852840041
30	2.841666265
31	2.831402606
32	2.82258804
33	2.813249945
34	2.80357953
35	2.793362085
36	2.785344227
37	2.776354984
38	2.766981931
39	2.758510108
40	2.750571047
41	2.742376939
42	2.734993694
43	2.726875451
44	2.718584648
45	2.710834174
46	2.702726952
47	2.695167866
48	2.687763229
49	2.681114077
50	2.675024919
51	2.667233115
52	2.660576273
53	2.653456116
54	2.646345071
55	2.63973103
56	2.633808919
57	2.626052734
58	2.620232639
59	2.613866776
60	2.607349844
61	2.60158854
62	2.595524408
63	2.589819084
64	2.583896329
65	2.578914279
66	2.573889642
67	2.569045226
68	2.56302502
69	2.55819597
70	2.554006157
71	2.549504116
72	2.544913063
73	2.540128398
74	2.53579986
75	2.531269192
76	2.526574198
77	2.522464094
78	2.518117139
79	2.513787406
80	2.509294383
81	2.504621579
82	2.500296456
83	2.495407166
84	2.491843152
85	2.487850712
86	2.484086861
87	2.479714953
88	2.476028692
89	2.471991632
90	2.467656327
91	2.464337089
92	2.46083884
93	2.457214762
94	2.45386849
95	2.450425824
96	2.447745026
97	2.44434811
98	2.440788901
99	2.437702137
100	2.435060544
101	2.432113769
102	2.429005073
103	2.425857977
104	2.42289028
105	2.419994565
106	2.416677919
107	2.413952259
108	2.411129887
109	2.408243525
110	2.405092815
111	2.403159436
112	2.400459873
113	2.39772579
114	2.395684449
115	2.392577043
116	2.389783521
117	2.387419884
118	2.385143668
119	2.38297413
120	2.380326125
121	2.377960983
122	2.375613231
123	2.37336203
124	2.371380561
125	2.368906492
126	2.366753462
127	2.364247388
128	2.362088469
129	2.359362277
130	2.357415676
131	2.354885178
132	2.351822588
133	2.349619817
134	2.347453661
135	2.345051701
136	2.343120579
137	2.341020503
138	2.339694268
139	2.337709285
140	2.335815632
141	2.33394548
142	2.33194324
143	2.329730373
144	2.327490994
145	2.325217494
146	2.322821538
147	2.320520705
148	2.319683279
149	2.317811929
150	2.316159205
151	2.314823872
152	2.312799665
153	2.311341875
154	2.30917653
155	2.307653217
156	2.306074246
157	2.303828965
158	2.301902815
159	2.30078984
160	2.2982401
161	2.296306286
162	2.294466985
163	2.292973469
164	2.291634824
165	2.290067567
166	2.288301043
167	2.287004624
168	2.284865165
169	2.283244945
170	2.281974666
171	2.27952968
172	2.277352066
173	2.274676313
174	2.273130913
175	2.270868383
176	2.26964857
177	2.268252343
178	2.266673884
179	2.264839741
180	2.263353128
181	2.261729149
182	2.260624321
183	2.25868662
184	2.257359366
185	2.256291449
186	2.255688147
187	2.254897199
188	2.25347336
189	2.251949046
190	2.250941088
191	2.249597466
192	2.248004612
193	2.246695191
194	2.245459765
195	2.243429017
196	2.242357696
197	2.240947527
198	2.239847343
199	2.23865489
200	2.236790472
201	2.23532606
202	2.233691512
203	2.232860499
204	2.231852537
205	2.230663446
206	2.229395175
207	2.228104029
208	2.226680833
209	2.225609827
210	2.224276887
211	2.222499398
212	2.2212616
213	2.220432663
214	2.219106214
215	2.217218171
216	2.216292927
217	2.215684819
218	2.214740421
219	2.213384538
220	2.211651804
221	2.209753672
222	2.208187591
223	2.207484735
224	2.205925596
225	2.20509977
226	2.204251686
227	2.202960948
228	2.201465105
229	2.20033954
230	2.198848093
231	2.197399118
232	2.19568701
233	2.194979417
234	2.193729737
235	2.192772018
236	2.192117326
237	2.19068625
238	2.189434082
239	2.188855953
240	2.188020691
241	2.187082476
242	2.185617211
243	2.183949205
244	2.183161333
245	2.181798464
246	2.180820655
247	2.179426312
248	2.178010524
249	2.176686827
250	2.175919169
251	2.17479597
252	2.174069026
253	2.17291676
254	2.171481216
255	2.170824282
256	2.169294237
257	2.168666267
258	2.16740365
259	2.166499352
260	2.165047018
261	2.163529464
262	2.162187783
263	2.161619078
264	2.160286075
265	2.159054748
266	2.158048649
267	2.156947979
268	2.15598995
269	2.154960998
270	2.153743122
271	2.152967992
272	2.152250459
273	2.151323633
274	2.150611598
275	2.149516744
276	2.148679795
277	2.147236348
278	2.146252551
279	2.145517469
280	2.145070454
281	2.143597291
282	2.142284285
283	2.141666236
284	2.140803745
285	2.13961353
286	2.139279083
287	2.138408604
288	2.137507549
289	2.136700346
