iter	Passed	Remaining
0	66	133128
1	70	70565
2	74	49689
3	79	39583
4	84	33859
5	88	29362
6	92	26300
7	95	23856
8	100	22146
9	103	20611
10	107	19444
11	111	18453
12	115	17674
13	119	16906
14	123	16284
15	126	15694
16	130	15229
17	134	14768
18	137	14386
19	142	14098
20	146	13793
21	150	13520
22	154	13277
23	158	13059
24	163	12914
25	167	12720
26	171	12551
27	175	12380
28	180	12261
29	184	12123
30	189	12020
31	194	11953
32	200	11929
33	205	11897
34	211	11851
35	215	11738
36	220	11703
37	224	11584
38	228	11482
39	232	11397
40	236	11300
41	240	11204
42	244	11114
43	248	11043
44	252	10968
45	256	10901
46	260	10838
47	265	10779
48	269	10746
49	274	10704
50	279	10673
51	284	10656
52	289	10643
53	296	10675
54	301	10667
55	308	10722
56	315	10756
57	321	10778
58	328	10817
59	335	10854
60	342	10898
61	349	10922
62	356	10953
63	363	11008
64	370	11026
65	376	11046
66	383	11051
67	389	11063
68	395	11062
69	401	11067
70	408	11085
71	414	11088
72	419	11085
73	426	11095
74	432	11109
75	438	11098
76	445	11118
77	450	11105
78	455	11086
79	461	11081
80	467	11072
81	472	11058
82	478	11053
83	484	11054
84	490	11046
85	495	11036
86	501	11032
87	507	11031
88	513	11015
89	518	11013
90	525	11025
91	531	11023
92	536	11005
93	542	11006
94	548	11000
95	553	10987
96	559	10984
97	565	10981
98	573	11003
99	579	11006
100	585	11012
101	592	11034
102	599	11047
103	606	11058
104	612	11051
105	618	11042
106	624	11045
107	630	11047
108	636	11040
109	642	11037
110	648	11032
111	654	11026
112	660	11023
113	666	11021
114	672	11026
115	678	11024
116	685	11027
117	691	11031
118	697	11028
119	704	11034
120	710	11029
121	715	11018
122	721	11016
123	727	11012
124	733	11002
125	739	10997
126	745	10993
127	751	10987
128	756	10978
129	763	10983
130	770	10991
131	776	10987
132	782	10982
133	788	10980
134	794	10977
135	800	10974
136	806	10966
137	812	10961
138	818	10961
139	824	10959
140	830	10951
141	837	10958
142	843	10955
143	850	10956
144	856	10956
145	862	10956
146	869	10963
147	876	10968
148	882	10966
149	888	10959
150	894	10956
151	900	10947
152	905	10928
153	910	10920
154	917	10920
155	923	10912
156	928	10900
157	934	10898
158	941	10895
159	946	10885
160	952	10880
161	957	10868
162	963	10858
163	968	10844
164	974	10835
165	979	10825
166	985	10817
167	991	10812
168	997	10810
169	1003	10806
170	1009	10801
171	1015	10797
172	1022	10793
173	1028	10795
174	1034	10790
175	1040	10787
176	1046	10778
177	1051	10768
178	1057	10756
179	1062	10744
180	1069	10745
181	1076	10748
182	1083	10759
183	1091	10776
184	1099	10782
185	1106	10788
186	1113	10797
187	1120	10800
188	1127	10807
189	1134	10809
190	1142	10816
191	1148	10811
192	1154	10804
193	1159	10797
194	1165	10789
195	1171	10782
196	1177	10774
197	1186	10797
198	1211	10959
199	1222	11005
200	1245	11143
201	1259	11209
202	1273	11271
203	1287	11335
204	1298	11372
205	1315	11452
206	1320	11441
207	1327	11437
208	1383	11857
209	1404	11974
210	1423	12070
211	1431	12075
212	1438	12070
213	1445	12063
214	1451	12046
215	1456	12032
216	1463	12022
217	1470	12017
218	1477	12013
219	1484	12012
220	1494	12032
221	1504	12047
222	1517	12093
223	1527	12110
224	1538	12137
225	1546	12142
226	1555	12149
227	1567	12182
228	1582	12234
