Feature,Importance
pressure,15.248620100502476
humidity_change_1,9.19804423340616
humidity,7.628615396234604
pressure_change_1,7.296937574034437
wind,5.066100618207552
rain_lag_1,5.043344024125233
wind_speed_uv,3.8431940652679115
longwave_radiation,3.802915183425276
dew_temp_gap,3.7614740417782597
temp_change_1,2.1732952183797742
wind_v,2.142862218197226
day_cos,1.9827348943116245
wind_u,1.7311271085622582
pressure_change_1_lag_1,1.4964240274980318
longwave_radiation_lag_1,1.0371201410926296
wind_v_lag_1,0.9811813593061439
wind_dir_lag_1,0.9514366136415475
day_sin,0.9197728970396495
temp_min,0.9166219286277494
temp_max,0.9120586790371024
temp_lag_3,0.8782644236329356
wind_dir,0.8530417264165531
wind_dir_lag_3,0.852715972625051
temp_min_lag_3,0.8456227729702072
wind_v_lag_3,0.7985441757098444
pressure_lag_3,0.7496907783531405
pressure_lag_1,0.7485275193050257
longwave_radiation_lag_7,0.744557836770618
wind_speed_uv_lag_1,0.6832649239810475
specific_humidity,0.6366485108030248
temp_min_lag_1,0.6125495337162142
dew_point,0.5897285291561913
humidity_change_1_lag_1,0.5624783584062713
longwave_radiation_lag_3,0.5353628691414886
dew_temp_gap_lag_3,0.5173023372145299
rain_lag_3,0.5085739039462838
temp_change_1_lag_1,0.4926425150933187
temp_change_1_lag_3,0.4842494787123989
humidity_change_1_lag_3,0.4718252314810629
humidity_temp_interaction,0.46391890029076965
rain_roll_mean_7,0.4532348206948092
dew_point_lag_1,0.4521924834463236
temp_lag_7,0.4447319445508526
wind_v_lag_7,0.44223948160636345
pressure_lag_7,0.4384427201567884
pressure_change_1_lag_3,0.41984080812884295
wind_u_lag_3,0.40807605715496775
temp_max_lag_1,0.39850784620588353
specific_humidity_lag_1,0.39443966115694284
wind_dir_lag_7,0.38597452598077375
temp_lag_1,0.3818239238417823
humidity_lag_1,0.3792719178806417
pressure_change_1_lag_7,0.37908414624122877
dew_point_lag_3,0.3716282025595801
humidity_change_1_lag_7,0.36000947611458556
wind_u_lag_1,0.35606572762829947
dew_temp_gap_lag_1,0.34805606384786447
temp_max_lag_7,0.34695916080319616
temp_change_1_lag_7,0.293776049364299
pressure_roll_std_7,0.28996365539453683
wind_lag_1,0.27336977373184435
rain_lag_7,0.26228322334419224
wind_u_lag_7,0.2570595798871683
humidity_lag_3,0.25259381345582665
wind_lag_7,0.24331882501677332
wind_speed_uv_lag_3,0.22508177202211427
specific_humidity_lag_3,0.2236821187574075
humidity_lag_7,0.22073375806403697
temp,0.21241183453932896
wind_speed_uv_lag_7,0.21026781958043517
specific_humidity_lag_7,0.20508189178480626
temp_min_lag_7,0.1866344648800472
temp_max_lag_3,0.16274755342687766
dew_temp_gap_lag_7,0.15702427834892024
