Feature,Importance
pressure_change_1,472
wind,444
humidity_change_1,436
humidity,358
pressure,357
temp_change_1,331
rain_lag_1,324
wind_u,305
wind_speed_uv,274
rain_roll_mean_7,267
humidity_change_1_lag_3,266
pressure_change_1_lag_7,258
temp_change_1_lag_7,258
day_sin,254
wind_v_lag_1,250
humidity_change_1_lag_7,237
wind_u_lag_3,231
rain_lag_3,230
dew_temp_gap,223
pressure_change_1_lag_1,222
temp_change_1_lag_3,217
rain_lag_7,216
wind_u_lag_1,212
wind_v,212
pressure_change_1_lag_3,206
longwave_radiation,204
humidity_change_1_lag_1,203
longwave_radiation_lag_7,200
temp_change_1_lag_1,197
wind_v_lag_7,196
wind_dir_lag_3,195
wind_dir_lag_7,193
wind_dir_lag_1,192
longwave_radiation_lag_1,186
pressure_roll_std_7,182
wind_lag_1,182
wind_speed_uv_lag_1,182
wind_dir,181
pressure_lag_3,179
pressure_lag_1,178
day_cos,176
temp_min_lag_7,172
wind_speed_uv_lag_3,169
pressure_lag_7,165
wind_lag_7,165
longwave_radiation_lag_3,162
wind_speed_uv_lag_7,160
humidity_lag_1,157
wind_v_lag_3,154
temp_min,146
humidity_lag_7,146
specific_humidity,140
wind_u_lag_7,133
dew_temp_gap_lag_3,129
humidity_lag_3,124
dew_temp_gap_lag_7,123
temp_min_lag_1,119
temp_min_lag_3,115
wind_lag_3,113
temp_max,108
specific_humidity_lag_3,103
dew_temp_gap_lag_1,101
dew_point,98
temp_max_lag_3,95
temp_lag_7,88
specific_humidity_lag_1,83
temp_max_lag_7,82
dew_point_lag_7,75
dew_point_lag_1,74
temp_max_lag_1,72
specific_humidity_lag_7,72
temp_lag_3,66
temp,61
dew_point_lag_3,61
temp_lag_1,45
humidity_temp_interaction,38
